timestamp_utc,run_id,source_run_id,experiment,run_name,evaluation,dataset,backbone,method,seed,epochs,latency_p50_ms,latency_p95_ms,peak_memory_mb,images,srcc,plcc,srcc_per_reference,images_per_second,milliseconds_per_image,head_size_mb,model_parameter_size_mb,config_path
2026-09-01T17:03:19.913065+00:00,b221897c5f9b4635a5a760ed92a869e4,a5751a5b2ba145c9a9051206af59fa44,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-stretch-s0-uhd-test,held_out_test,uhdiqa,clip-base,baseline,,5,4.666,5.32,347.4,900,0.20505930084848817,0.25190433859825134,,34.1987311672488,29.240850928343004,0.7578163146972656,328.05664443969727,configs/text_conditioning/22_baseline_clean_multi_stretch_pilot.yaml
2026-09-01T17:03:42.666142+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,tid2013,clip-base,baseline,,5,5.493,5.601,347.4,3000,0.7280869097147998,0.7583406567573547,,237.86990441541533,4.203978651513656,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:03:42.666165+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,csiq,clip-base,baseline,,5,5.493,5.601,347.4,866,0.7668119905542968,0.8030208349227905,,209.22316580703898,4.779585454329057,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:03:42.666170+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,cid2013,clip-base,baseline,,5,5.493,5.601,347.4,474,0.48935782064951777,0.5674360990524292,,99.72569790782384,10.027505657812462,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:03:42.666175+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,koniq10k,clip-base,baseline,,5,5.493,5.601,347.4,10073,0.5574943641404361,0.5858466625213623,,244.36561554746405,4.092228760415625,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:03:42.666178+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,clive,clip-base,baseline,,5,5.493,5.601,347.4,1162,0.6736268112292612,0.7089880108833313,,229.39814642720458,4.35923313058387,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:03:42.666182+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,agiqa3k,clip-base,baseline,,5,5.493,5.601,347.4,2982,0.7008404406070756,0.7231584191322327,,242.54375360860553,4.122967444520161,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:03:42.666186+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,gfiqa20k,clip-base,baseline,,5,5.493,5.601,347.4,19998,0.6482363540199436,0.661652147769928,,247.69030284942525,4.037299758997491,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:03:42.666190+00:00,05039afd69b545769c7180ac4d12253c,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0,held_out_test,pipal,clip-base,baseline,,5,5.493,5.601,347.4,24200,0.4513480620422167,0.4409247636795044,,247.74651884588982,4.036383658016393,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
2026-09-01T17:04:20.745964+00:00,5b1d5be9011c42da81f77b7f34095399,b3ab845b5cca4fe9aad7245167ef7bf6,conditioned-iqa-baseline-diagnostics-external,external-baseline-clean-multi-clip-preprocess-s0-uhd-test,held_out_test,uhdiqa,clip-base,baseline,,5,5.601,5.733,347.4,900,0.2314109636133935,0.2717018723487854,,32.79618077712104,30.491355282978883,0.7578163146972656,328.05664443969727,configs/text_conditioning/23_baseline_clean_multi_clip_preprocess_pilot.yaml
